'Moosburg a.d.Isar'
'Mühldorf a.Inn'
'Speyer'
'Lohr a.Main'
'Hüls (jetzt Krefeld)'
'Homberg'
'Nördlingen'
'Salzgitter'
'Neubrandenburg'
'Breyell (jetzt Nettetal)'
'Gdynia, Polen'
'Hub'
'Weidenau (Siegen)'
'Dreiborn'
'Offenbach am Main'
'Hille'
'Hamburg-Bergedorf'
'Sandershausen'
'Schmalkalden'
'Elmshorn'
'Spaichingen'
'Deibow'
'Naila'
'Bad Neuenahr'
'Teplice'
'Duisdorf'
'Oberhausen'
'Reinbek'
'Buchen (Odenwald)'
'Uchte'
'Wickede'
'Wyk auf Föhr'
'Vohenstrauß'
'Starnberg'
'Tokat, Türkei'
'Wassertrüdingen'
'Graz, Österreich'
'Ebersbach'
'Mühlhausen'
'Braunfels'
'Mönchengladbach'
'Thessaloniki'
'Prüm'
'Nürnberg'
'Schleswig'
'Göttingen'
'Apolda'
'Görlitz'
'Hattingen'
'St. Georgen im Schwarzwald'
'Fritzlar'
'Ellwangen'
'Merseburg (Saale)'
'Donaualtheim'
'Biberach an der Riß'
'Kirchengel'
'Saalstadt'
'Berlin-Wilhelmsdorf'
'Burg bei Magdeburg'
'Beuthen / Oberschlesien'
'Forbach'
'Issum'
'Neunkirchen (Saar)'
'Finsterwalde'
'Schorbus'
'Darmstadt'
'Wittingen'
'Erkelenz'
'Völklingen'
'Furth im Wald'
'Kulmbach'
'Heppenheim (Bergstraße)'
'Dohna'
'Preetz'
'Lippstadt'
'Finnentrop'
'Norderney'
'Krumbach (Schwaben)'
'Loppersum (jetzt Hinte)'
'Haldensleben'
'Verden (Aller)'
'Adelshofen'
'Kirchen'
'Rinteln'
'Brackenheim'
'Essen'
'Langenhagen'
'Ebingen'
'Marsassoum, Senegal'
'Sabelowka, Kasachstan'
'Löningen'
'Frankfurt am Main'
'Hann. Münden'
'Luhdorf'
'Herne'
'Aschaffenburg'
'Longmont'
'Albstadt'
'Konstanz'
'Mayen'
'Bad Essen'
'Rheda-Wiedenbrück'
'Siegen-Weidenau'
'Großburgwedel'
'Zerbst'
'Werne'
'Wilhelmshaven'
'Oberndorf am Neckar'
'Potsdam'
'Zweibrücken'
'Oy-Mittelberg'
'Bonn-Duisdorf'
'Kalutara'
'Peißenberg'
'Homberg (Efze)'
'Wasserlos (jetzt Alzenau)'
'Eberswalde'
'Forchheim'
'Munderkingen'
'Gemünden (Wohra)'
'Koprivnica'
'Bensberg (jetzt Bergisch Gladbach)'
'Immerath'
'Peiting'
'Berlin-Friedrichshain'
'Marburg'
'Wiesweiler'
'Böblingen'
'Simmern/ Hunsrück'
'Müllrose'
'Höpfingen'
'Bakirköy, Türkei'
'Wulfen'
'Brackwede (jetzt Bielefeld)'
'Tirschenreuth'
'Neustadt b.Coburg'
'Nurataldy'
'Büren'
'Schleiz'
'Belzig'
'Kronach'
'Backnang'
'Recklinghausen'
'Hozat'
'Hage'
'Dudweiler (jetzt Saarbrücken)'
'Sulzbach-Rosenberg'
'Weißenburg i.Bay.'
'Schwetzingen'
'Wanne-Eickel (jetzt Herne)'
'Rathenow'
'Neuhaus am Rennweg'
'Hadamar'
'Ribnitz-Damgarten'
'Berumerfehn'
'Wattrelos, Frankreich'
'Freudenstadt'
'Werneck'
'Witterschlick'
'Wiesbaden-Sonnenberg'
'Marsberg'
'Haan'
'Traunstein'
'Stollberg'
'Datteln'
'Boppard'
'Preßburg'
'Wostok'
'Neheim-Hüsten'
'Glonn (Lkrs. Ebersberg)'
'Homburg (Saar)'
'Fürstenfeldbruck'
'Schwabmünchen'
'Gauchsmühle'
'Westrhauderfehn'
'Pritzwalk'
'Vallendar'
'Neustadt an der Weinstraße'
'Wittichenau'
'Ratstatt'
'Oldenburg (Oldenburg)'
'Vorsfelde'
'Schneverdingen'
'Langenbach bei Kirburg'
'Jugenheim'
'Clausthal-Zellerfeld'
'Metzingen'
'Gelnhausen'
'Rudnik'
'Camden, USA'
'Schwedt'
'Stadthagen'
'Bochum'
'Bützow'
'Forst (Lausitz)'
'Bad Dürkheim'
'Dingolfing'
'Arnsberg'
'Sande'
'Most'
'Gaissach'
'Friedrichroda'
'Bad Salzuflen'
'Schwäbisch Gmünd'
'Münchberg'
'Buchholz in der Nordheide'
'Cleveland, USA'
'Kreuzburg / Oppeln'
'Homberg (jetzt Duisburg)'
'Asbach-Bäumenheim'
'Günzburg'
'Rösrath'
'Salzburg'
'Crivitz'
'Kemah, Türkei'
'Straelen'
'Jena'
'Quedlinburg'
'Nürtingen'
'Stuttgart-Bad Cannstatt'
'Puerto Plata, Dom. Rep.'
'Isernhagen'
'Jesberg'
'Osterode'
'Lich'
'Holzminden'
'Gronau (Westf.)'
'Cunnersdorf'
'Schaafheim-Schlierbach'
'Gablonz'
'Bajitpur, Bangladesch'
'Lörrach'
'Triberg im Schwarzwald'
'Walsrode'
'Bad Rothenfelde'
'Eberbach'
'Ansbach'
'Ensheim'
'Wittenberg'
'Carrazeda De Ansiaes, Portugal'
'Grevenbroich'
'Rostock'
'Magdeburg'
'Bad Bergzabern'
'Wiedenbrück'
'Leipzig-Mitte'
'Sarajewo'
'Hollage'
'Remscheid'
'Alstätte (jetzt Ahaus)'
'Sondershausen'
'Saarburg'
'Ehrenfriedersdorf'
'Kleve'
'Köppern'
'Hanau'
'Ochsenfurt'
'Buchloe'
'Vacha'
'Bad Kissingen'
'Oberhausen-Sterkrade'
'Sassenberg'
'Rheine'
'Danzig'
'Vechta'
'St. Georgen'
'Delitzsch'
'Siegburg'
'Bad Pyrmont'
'Freising'
'Laufen'
'Vilsbiburg'
'Sonneberg'
'München'
'Los Angeles, USA'
'Rheydt (jetzt Mönchengladbach)'
'Lemgo'
'Burg'
'Uelzen'
'Bad Segeberg'
'Einbeck'
'Seeheim-Jugenheim'
'Langwedel'
'Grebenhain'
'Künzelsau'
'Stadtsteinach'
'Erzincan'
'Straubing'
'Oldenburg in Holstein'
'Witten'
'Heringen (Werra)'
'Schongau'
'Weida'
'Warendorf'
'Oberhochstatt'
'Lorsch'
'Schwäblishausen'
'Neuruppin'
'Waltrop'
'Gladbeck'
'Kirchgandern'
'Hof'
'Schleiden'
'Mengen'
'Harmonie (jetzt Eitorf)'
'Kötzting'
'Castrop-Rauxel'
'Ludwigsburg'
'Frankfurt (Oder)'
'Seeg'
'Taschkent'
'Arolsen'
'Crimmitschau'
'Korntal'
'Stettin'
'San Carlos City, Philippinen'
'Miltenberg'
'Danzig-Langfuhr'
'Rize'
'Bauhaus (jetzt Nentershausen)'
'Dettelbach'
'Wertheim'
'Gummersbach'
'Craiova'
'Welver'
'Uetersen'
'Hennigsdorf'
'Dollerupholz'
'Schwalmstadt'
'Solingen'
'Daseburg (jetzt Warburg)'
'Lindlar'
'Eschweiler'
'Rodalben'
