'Die Grauen','Die Grauen – Für alle Generationen'
'Volksabstimmung','Ab jetzt...Demokratie durch Volksabstimmung'
'Einzelbewerber','Marburger Pogo-Anarchisten'
'SPD','Sozialdemokratische Partei Deutschlands'
'Einzelbewerber','Für praktische Vernunft in der Politik!'
'UBHÄNGIGE','UBHÄNGIGE für bürgernahe Demokratie'
'Einzelbewerber','Rieth Eckehart - RIETH'
'Einzelbewerber','Friedrich der 21.'
'Einzelbewerber','Einzelbewerber (Ulbrich)'
'Einzelbewerber','VIP - Volkstribun ins Parlament'
'GRÜNE','BÜNDNIS 90/DIE GRÜNEN'
'Einzelbewerber','Bürgerkandidaten'
'DIE VIOLETTEN','Die Violetten'
'Einzelbewerber','Frank Hofer (frei – klar – bürgernah)'
'Einzelbewerber','Mit Wählen – Mit Reden – Mit Bestimmen'
'Einzelbewerber','SCHLUSS MIT SOZIALER UNGERECHTIGKEIT! MEHR FREIHEIT, DEMOKRATIE & WOHLSTAND FÜR ALLE! BULTHEEL SLDP WÄHLEN'
'Einzelbewerber','Geidel'
'Einzelbewerber','Bürgerinitiativen BIBS'
'Einzelbewerber','Unabhängig, bürgernah, transparent - für humane Marktwirtschaft, Frieden und Menschenwürde global. Vielen Dank für Ihre Stimme und Ihr Vertrauen!'
'Einzelbewerber','Ralf LEMBACH'
'SGP','Sozialistische Gleichheitspartei, Vierte Internationale'
'Einzelbewerber','Bürgerkandidat - für ein Deutschland - neutral+souverän+sozial'
'du.','Die Urbane. Eine HipHop Partei'
'Einzelbewerber','KNOOP'
'Einzelbewerber','Zurück zu mehr Gesundheit'
'Einzelbewerber','Bürgerkandidaten für Gemeinwohl und Volksentscheid'
'PIRATEN','Piratenpartei Deutschland'
'Einzelbewerber','Für Dich im Bundestag'
'Einzelbewerber','Tim Leder'
'Tierschutzpartei','PARTEI MENSCH UMWELT TIERSCHUTZ'
'Einzelbewerber','Überparteilich! Mit gutem Beispiel voran: www.eidesstattliches-wahlversprechen.de'
'Einzelbewerber','Babnik'
'CDU','Christlich Demokratische Union Deutschlands'
