'Selbsständige'
'Wirtschaftsprüfer / Steuerberater'
'Dipl.-Kaufleute'
'Arbeiter'
'künstlerische Berufe'
'Ingenieure'
'Geographen/Geologen'
'Handwerker'
'Theologen'
'Gesellschaftswissenschaftler'
'Hochschullehrer und Dozenten'
'Angestellte'
'Unternehmensberater'
'Gesundheits-, Kranken- und Altenpfleger'
'Beamte'
'Mathematiker'
'Facharbeiter (Industrie)'
'Berater'
'Verwaltungsfachleute'
'Schüler, Studenten und Auszubildende'
'Ärzte, Psychologen, Therapeuten'
'Journalisten, Publizisten'
'Bergleute'
'Unternehmer'
'Flaschensammler'
'Wirtschaftswissenschaftler'
'#NV'
'Feuerwehrleute, Retter'
'Berufssoldaten'
'Landwirte und Agraringenieure'
'Geschäftsführer'
'Büroangestellte'
'Berufspolitiker'
'Lehrer und Erzieher'
'Gewerkschafter'
'Kaufleute (Ausbildung)'
'Projektleiter'
'Hausfrau/Hausmann'
'Berufe im Bau'
'Dipl.-Kaufleute (Ausbildung)'
'naturwissenschaftliche Berufe'
'Sozialpädagogen und Sozialarbeiter'
'Polizisten'
'Wirtschaftsingenieure'
'Kultur und Kunst'
'Bankkaufleute'
'Juristen'
'Rentner/Pensionäre'
'Facharbeiter'
'Gastronomen'
'Geisteswissenschaftler'
'IT-Fachleute'
'Banker, Finanzprofis'
'wissenschaftliche Mitarbeiter'
'Betriebswirt (Ausbildung)'
