'selbst. Finanzberaterin'
'Assistent der Geschäftsführung'
'Maschinenbauer i. R.'
'Gewerkschaftsangestellter'
'MdB / Biotechnologin'
'Jugend- und Heimerzieher'
'Rechtsanwalt'
'Elektroniker / Kaufmann'
'Kaufmann Grundstücks- und Wohnungswirtschaft'
'Pädagoge'
'MdB / Dipl.-Betriebswirt'
'Wirtschaftsingenieur'
'Ingenieurökonomin'
'selbst. Antiquar'
'selbst. Kommunikationsdesigner'
'Dipl.-Betriebswirtin i. R.'
'Rettungsassistent'
'Verlegerin'
'Dipl.-Geologe'
'Facharzt für Innere Medizin und Allgemeinmedizin i. R.'
'Unternehmerin'
'MdL / Dipl.-Volkswirtin'
'Personalfachkauffrau'
'Pensionärin'
'MdL / Dipl.-Ing. für Arbeitsgestaltung'
'Projektleiter'
'Gewerkschaftssekretär i. R.'
'Doktorand'
'Realschulkonrektor'
'MdB / Dipl.-Verwaltungswirt (FH)'
'Hauswirtschaftsmeisterin'
'Drucker'
'Kaufmann der Grundstücks- und Wohnungswirtschaft'
'Konditormeister'
'Professor für Lebensmittelchemie'
'Thekenkraft'
'Radiologe i. R.'
'MdB / Dipl.-Theologin'
'Unternehmer / Dipl.-Wirtschaftsingenieur'
'Vors. Richter am FG'
'Computertechniker'
'Angestellter im ö. D.'
'Fremdsprachenkaufmann'
'Koch'
'MdB / Dipl.-Informatiker'
'Fraktionsgeschäftsführer'
'Oberstaatsanwalt'
'Dipl.-Ökonomin'
'Vertriebsleiter'
'Fotograf'
'Stadträtin a. D.'
'Musikerin'
'Funkmechaniker'
'Publizistin'
'Hauswirtschaftsleiterin'
'Dipl.-Bankbetriebswirt'
'MdB / Polizistin'
'Landesschatzmeister'
'Student / Altenpflegefachkraft'
'Dipl.-Kaufmann'
'Dipl.-Ingenieur (MBA)'
'MdB / Volljurist'
'Dipl.-Ökotrophologin'
'Religionswissenschaftlerin'
'IT-Fachangestellter'
'Landwirt'
'Dipl.-Politologe'
'Dipl.-Bauingenieur / Dipl.-Wirtschaftsingenieur'
'selbst. Bierhändlerin'
'MdB / Gewerkschaftssekretärin'
'Versicherungskaufmann'
'Erzieherin'
'MdB / Literaturwissenschaftlerin'
'Kulturmanagerin'
'Sozialökonom'
'Dipl.-Soziologe'
'MdAB / Redakteurin'
'Zimmerermeister'
'Dipl.-Kaufmann / Geschäftsführer'
'Chemiker'
'Oberstudienrat'
'Briefträger'
'Beamtin / Volljuristin'
'EU-Rentnerin'
'Sozialarbeiterin (B. A.)'
'Studentin der Politikwissenschaften'
'Bauingenieurin'
'Dipl.-Verwaltungsbetriebswirt (FH)'
'Richterin a. D.'
'Sprachlehrerin'
'MdB / Dipl.-Ökotrophologin'
'MdL / Dipl.-Ing. für Schiffsführung'
'Dipl.-Ing. techn. Umweltschutz'
'Dipl.-Kauffrau'
'Historiker'
'selbst. Finanz- und Versicherungsmakler'
'Dipl.-Handelslehrer'
'Auszubildende'
'freie Fotografin'
'Asylsozialberater'
'Architekt'
'Dipl.-Physiker'
'Dolmetscher / Übersetzer'
'freiberufl. Webentwickler'
'Kostümbildnerin'
'Berufsschullehrer'
'MdB / Angestellter'
'Dreher'
'selbst. IT-Berater'
'Fachlehrerin für Musik'
'Dipl.-Informatikerin Robotik'
'Freiberuflerin'
'Dipl.-Bauingenieur (FH)'
'Dipl.-Wirtschaftsingenieurin (FH)'
'Politikwissenschaftlerin'
'Maschinenbauingenieur'
'Politikwissenschaftler'
'Berater für Unternehmensfinanzierung'
'Beraterin von Start-Up-Unternehmen'
'Brauer'
'Fachwirt für Versicherungen und Finanzen'
'Industriemeister Metall'
'Betreuer'
'Corporate Controller'
'MdB / Bundesminister'
'selbst. Unternehmer'
'Analyse-Agent'
'Politikwissenschaftlerin (M. A.) / Geschäftsführerin'
'MdB / Dipl.-Juristin'
'Bergmann'
'Homöopathin'
'selbst. Dipl.-Pädagoge'
'Privatier'
'Pflegedienstleister'
'Polizeibeamtin'
'MdEP'
'Pfarrer i. R. / Dipl.-Kaufmann'
'Sozialarbeiter'
'Pfarrer'
'MdB / Sprachwissenschaftlerin'
'Chemiefacharbeiter i. R.'
'Maler und Lackierer'
'Rehabilitationsberater i. R.'
'Rentnerin'
'Dipl.-Agraringenieurökonom / Rentner'
'MdB / Politikwissenschaftler (M. A.)'
'freie Dozentin'
'MdB / Hauswirtschaftsmeisterin'
'Versicherungsmakler'
'selbst. Maschinenbaukonstrukteur'
'Dipl.-Finanzwirt'
'Praktischer Arzt'
'Dipl.-Verwaltungsökonomin'
'Sozialversicherungsfachangestellter'
'Immobilienverwalter'
'Notfallsanitäter'
'Dipl.-Wirtschaftsingenieur'
'Facharbeiterin für Betriebs-, Mess-, Steuerungs- und Regelungstechnik'
'Dipl.-Betriebswirt (VWA)'
'Geologin'
'Angestellter im techn. Vertrieb'
'Industriekaufmann'
'Softwareentwickler / Autor'
'Briefmarkenhändler'
'Heilerziehungspflegerin'
'SAP-/IT-Berater'
'Produktionsmitarbeiter'
'Hochschullehrer / beratender Ingenieur'
'Pressereferent'
'Systemadministrator'
'MdB / Kaufmann'
'selbst. Handelsvertreter'
'Sozialpädagoge i. R.'
'MdB / Wirtschaftswissenschaftler (M. Sc.)'
'Dipl.-Musikerin'
'Dipl.-Ing. Pädagoge'
'Kfz.-Technikermeister'
'Publizist'
'Biochemikerin (M. Sc.)'
'IT-Leiter'
'Kulturwissenschaftler'
'Theologe'
'Betriebsmittelplaner'
'Regierungsdirektor a. D.'
'Werkzeugmechaniker'
'Dipl.-Betriebswirt (FH)'
'MdB / Dipl.-Ökonom'
'selbst. Friseurmeisterin'
'Landmaschinenmechanikermeister'
'Verkehrsingenieur'
'Betriebswirtschaft (B. A.)'
'Politologe (M. A.) / Kriminalhauptkommissar i. R.'
'Sozialwissenschaftler'
'selbst. Versicherungsmakler e. K.'
'Dipl.-Sozialwissenschaftlerin'
'Regierungsangestellter'
'Pflegefachhelfer'
'Mechatronikerin'
'Verkäufer'
'Maschinenschlosser'
'Filialleiter'
'Lagerarbeiter'
'Prozessingenieur'
'Busfahrer'
'Dipl.-Geograph'
'Lehrer für Fachpraxis i. R.'
'Landwirtschaftsmeister'
'Präsident Bundesverband'
'Dipl.-Verwaltungsfachwirtin (FH)'
'Förster'
'selbst. Makler'
'MdB / Bankkaufmann'
'Produktauditor Prüfmittel'
'Social-Media-Manager'
'Opern- und Konzertsängerin / Dipl.-Musikerin'
'Altenpfleger'
'Gastronomin'
'Bauzeichner'
'Juristin / Politikwissenschaftlerin / Musikerin'
'Verfahrensmechanikerin'
'Dipl.-Informatikerin'
'Hochschullehrer / Steuerberater'
'Schlosser'
'Malerin'
'MdB / Dipl.-Volkswirt'
'freier Publizist'
'Dipl.-Soziologin / Sachbearbeiterin'
'Kauffrau'
'Dipl.-Kunsttherapeutin (FH)'
'Hauptsekretär a. D.'
